"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02431V02938","Meteorological Weather Station","UNIT","VALUE"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","001","Belmullet","Knots","62"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","002","Birr","Knots","58"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","003","Valentia Observatory","Knots","50"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","004","Casement","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","005","Claremorris","Knots","53"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","006","Clones","Knots","58"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","007","Cork airport","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","008","Dublin airport","Knots","55"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","009","Galway","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","010","Kilkenny","Knots","52"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","011","Malin head","Knots","86"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","012","Mullingar","Knots","55"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","013","Roches Point","Knots","67"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","014","Rosslare","Knots","53"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195801","1958M01","015","Shannon airport","Knots","53"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","001","Belmullet","Knots","49"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","002","Birr","Knots","53"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","003","Valentia Observatory","Knots","64"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","004","Casement","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","005","Claremorris","Knots","65"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","006","Clones","Knots","49"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","007","Cork airport","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","008","Dublin airport","Knots","48"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","009","Galway","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","010","Kilkenny","Knots","52"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","011","Malin head","Knots","63"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","012","Mullingar","Knots","49"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","013","Roches Point","Knots","59"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","014","Rosslare","Knots","59"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195802","1958M02","015","Shannon airport","Knots","57"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","001","Belmullet","Knots","53"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","002","Birr","Knots","47"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","003","Valentia Observatory","Knots","59"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","004","Casement","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","005","Claremorris","Knots","46"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","006","Clones","Knots","42"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","007","Cork airport","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","008","Dublin airport","Knots","40"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","009","Galway","Knots",""
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","010","Kilkenny","Knots","42"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","011","Malin head","Knots","50"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","012","Mullingar","Knots","42"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","013","Roches Point","Knots","52"
"MTM04","Wind, Maximum Gale Gust (>33.5 Knots)","195803","1958M03","014","Rosslare","Knots","47"
