,STATISTIC,STATISTIC Label,TLIST(M1),Month,C02431V02938,Meteorological Weather Station,UNIT,VALUE
0,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,1,Belmullet,Knots,62.0
1,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,2,Birr,Knots,58.0
2,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,3,Valentia Observatory,Knots,50.0
4,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,5,Claremorris,Knots,53.0
5,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,6,Clones,Knots,58.0
7,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,8,Dublin airport,Knots,55.0
9,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,10,Kilkenny,Knots,52.0
10,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,11,Malin head,Knots,86.0
11,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,12,Mullingar,Knots,55.0
12,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,13,Roches Point,Knots,67.0
13,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,14,Rosslare,Knots,53.0
14,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,15,Shannon airport,Knots,53.0
15,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,1,Belmullet,Knots,49.0
16,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,2,Birr,Knots,53.0
17,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,3,Valentia Observatory,Knots,64.0
19,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,5,Claremorris,Knots,65.0
20,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,6,Clones,Knots,49.0
22,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,8,Dublin airport,Knots,48.0
24,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,10,Kilkenny,Knots,52.0
25,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,11,Malin head,Knots,63.0
26,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,12,Mullingar,Knots,49.0
27,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,13,Roches Point,Knots,59.0
28,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,14,Rosslare,Knots,59.0
29,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,15,Shannon airport,Knots,57.0
30,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,1,Belmullet,Knots,53.0
31,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,2,Birr,Knots,47.0
32,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,3,Valentia Observatory,Knots,59.0
34,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,5,Claremorris,Knots,46.0
35,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,6,Clones,Knots,42.0
37,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,8,Dublin airport,Knots,40.0
39,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,10,Kilkenny,Knots,42.0
40,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,11,Malin head,Knots,50.0
41,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,12,Mullingar,Knots,42.0
42,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,13,Roches Point,Knots,52.0
43,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,14,Rosslare,Knots,47.0
44,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,15,Shannon airport,Knots,49.0
45,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,1,Belmullet,Knots,52.0
46,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,2,Birr,Knots,42.0
47,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,3,Valentia Observatory,Knots,49.0
